HHID,IWTime,SN,Age,Gender,M_Status,Class,S_Name,Occupation,livedOutside,Address,WhenMove,BirthPlace,MoveHereYear,Caste
2301006,0:10,4,10,1,0,3,PII,4,0,0,-1,0,-1,1
2301006,0:10,2,40,1,1,9,0,5,0,0,-1,N56,2069-02,1
2301006,0:10,1,43,0,1,9,0,2,1,0,-1,0,-1,1
2301006,0:10,3,17,0,0,10,PII,4,0,0,-1,0,-1,1
2301007,0:10,1,55,1,1,3,0,5,1,0,-1,N67,2059-01,1
2301007,0:10,2,57,0,1,3,0,5,1,0,-1,N63,2059-01,1
2301007,0:10,4,22,1,1,12,0,6,0,0,-1,N56,2076-10,1
2301007,0:10,5,24,0,0,12,0,5,0,0,-1,N56,2059-01,1
2301007,0:10,3,26,0,1,12,0,1,0,0,-1,F091,2059-01,1
2301013,0:06,1,49,1,1,0,0,6,0,0,-1,0,-1,3
2301013,0:06,2,51,0,1,7,0,5,1,0,-1,0,-1,3
2301016,0:15,1,55,1,1,0,0,5,0,0,-1,0,-1,1
2301016,0:15,6,7,0,0,1,PII,4,0,N61,2072,N61,2076-12,1
2301016,0:15,10,8,0,0,1,PII,4,0,0,-1,N61,2076-12,1
2301016,0:15,9,11,1,0,5,PII,4,0,0,-1,N61,2076-12,1
2301016,0:15,2,60,0,1,5,0,5,0,0,-1,N68,2029,1
2301016,0:15,5,14,0,0,8,PII,4,0,N61,2069-01,N61,2076-12,1
2301016,0:15,3,37,0,1,9,0,1,0,N61,2069-01,0,-1,1
2301016,0:15,8,29,1,1,12,0,6,0,0,-1,N56,2068-01,1
2301016,0:15,4,34,1,1,12,0,1,0,N61,2069-01,N56,2064-08,1
2301016,0:15,7,34,0,1,10,0,5,0,0,-1,0,-1,1
2301017,0:05,2,25,0,0,12,0,2,0,0,-1,0,-1,1
2301017,0:05,1,47,1,1,10,0,5,0,0,-1,N56,2049-06,1
2301021,0:10,6,1,0,0,0,0,0,1,F001,2078,F091,0,1
2301021,0:10,2,51,1,1,5,0,5,0,0,-1,N56,2062-11,1
2301021,0:10,4,27,1,1,12,0,6,1,F001,2077-06,N78,2071-03,1
2301021,0:10,1,65,0,1,10,0,5,0,0,-1,N61,2018,1
2301021,0:10,5,6,1,0,NS,PII,4,1,F001,2077-06,0,-1,1
2301021,0:10,3,37,0,1,14,0,2,1,F001,2069-11,0,-1,1
2301029,0:03,1,39,1,1,0,0,5,0,0,-1,N57,2057-11,1
2301029,0:03,2,44,0,1,5,0,2,1,0,-1,0,-1,1
2301029,0:03,4,15,0,0,9,PII,4,0,0,-1,0,-1,1
2301029,0:03,3,20,0,0,12,0,0,0,0,-1,0,-1,1
2301037,0:15,10,1,1,0,0,0,0,0,0,-1,0,-1,1
2301037,0:15,7,9,1,0,2,PII,4,0,0,-1,0,-1,1
2301037,0:15,4,65,1,1,5,0,6,1,0,-1,N93,2066-02,1
2301037,0:15,3,77,0,1,8,0,5,1,0,-1,N61,2066-02,1
2301037,0:15,6,29,1,1,12,0,6,0,0,-1,N56,2071-11,1
2301037,0:15,1,31,1,1,12,0,5,0,0,-1,N56,2069-11,1
2301037,0:15,2,36,0,1,12,0,1,1,0,-1,N56,2066-02,1
2301037,0:15,5,32,0,1,16,0,2,0,0,-1,N56,2066-02,1
2301037,0:15,9,6,1,0,KG,PII,4,0,0,-1,0,-1,1
2301037,0:15,8,5,0,0,NS,PII,4,0,0,-1,0,-1,1
2301038,0:05,3,71,1,3,0,0,6,0,0,-1,N64,2040-03,3
2301038,0:05,2,32,0,1,5,0,2,1,F966,2075-03,0,-1,3
2301038,0:05,1,28,1,1,7,0,5,0,0,-1,N78,2072- 3,3
2301038,0:05,5,5,0,0,NS,PII,4,0,0,-1,0,-1,3
2301038,0:05,4,6,1,0,KG,PII,4,0,0,-1,0,-1,3
2301041,0:05,1,50,1,1,3,0,5,0,N56,-1,N10,2051-05,2
2301041,0:05,2,60,0,1,6,0,5,1,N56,-1,N10,2051-05,2
2301041,0:05,3,30,0,1,10,0,2,0,N56,-1,N10,2051-05,2
2301041,0:05,4,30,1,1,10,0,6,1,F082,2075-02,N56,2070-04,2
2301041,0:05,5,5,1,0,KG,PII,4,0,0,-1,0,-1,2
2301043,0:06,2,11,1,0,4,PII,4,0,0,-1,0,-1,1
2301043,0:06,1,30,1,1,9,0,5,0,0,-1,N57,2068-11,1
2301043,0:06,3,40,0,1,10,0,2,1,F965,2078-08,0,-1,1
2301044,0:05,1,56,1,3,0,0,5,0,0,-1,N64,2030-02,1
2301044,0:05,2,14,0,0,7,PII,4,0,0,-1,N56,2073-02,1
2301044,0:05,4,28,0,1,12,0,2,1,F974,2070-02,N56,2073-02,1
2301044,0:05,3,23,1,1,14,0,6,0,0,-1,N71,2074-06,1
2301046,0:10,5,1,0,0,0,0,0,0,0,-1,0,-1,1
2301046,0:10,1,66,0,3,0,0,5,0,0,-1,N02,2036-04,1
2301046,0:10,7,18,1,0,12,0,5,0,0,-1,0,-1,1
2301046,0:10,3,26,1,1,12,0,6,0,0,-1,N76,2072-08,1
2301046,0:10,6,27,0,0,12,0,2,1,F082,2074-05,0,-1,1
2301046,0:10,2,31,0,1,10,0,2,1,F971,2079-01,0,-1,1
2301046,0:10,4,6,0,0,NS,PII,4,0,0,-1,0,-1,1
2301047,0:07,1,38,1,3,3,0,5,0,0,-1,N08,2064-01,2
2301047,0:07,4,12,1,0,6,PII,4,0,0,-1,0,-1,2
2301047,0:07,2,20,0,0,12,PII,4,0,0,-1,N01,2064-01,2
2301047,0:07,3,18,0,0,10,PII,4,0,0,-1,N01,2064-01,2
2301048,0:08,1,45,1,1,0,0,5,0,0,-1,N08,2070-01,2
2301048,0:08,2,46,0,1,5,0,2,1,F966,2076-11,N08,2070-01,2
2301048,0:08,4,14,1,0,7,PII,4,0,0,-1,N08,2070-01,2
2301048,0:08,3,22,1,0,10,PII,4,0,0,-1,N08,2070-01,2
2301053,0:10,1,50,1,1,0,0,5,0,0,-1,N62,2034-01,3
2301053,0:10,2,57,0,1,4,0,3,0,0,-1,0,-1,3
2301053,0:10,3,31,0,1,5,0,0,1,0,-1,0,-1,3
2301053,0:10,4,27,1,1,10,0,6,0,N56,-1,N57,2078-06,3
2301056,0:05,1,50,1,1,0,0,5,0,0,-1,N56,2046-11,3
2301056,0:05,2,51,0,1,0,0,3,1,0,-1,0,-1,3
2301056,0:05,3,24,0,0,10,0,5,1,0,-1,0,-1,3
2301057,0:07,4,2,0,0,0,0,0,0,0,-1,0,-1,3
