ADM2_PCODE,ADM2_Name,ADM1_Region,MatrixID
SN1201,Bakel,Tambacounda,1
SN0201,Bambey,Diourbel,2
SN1401,Bignona,Ziguinchor,3
SN0401,Birkelane,Kaffrine,4
SN1101,Bounkiling,Sedhiou,5
SN1001,Dagana,Saint Louis,6
SN0101,Dakar,Dakar,7
SN0202,Diourbel,Diourbel,8
SN0301,Ffatick,Fatick,9
SN0302,Foundiougne,Fatick,10
SN0303,Gossas,Fatick,11
SN1202,Goudiry,Tambacounda,12
SN1102,Goudomp,Sedhiou,13
SN0102,Guediawaye,Dakar,14
SN0501,Guinguineo,Kaolack,15
SN0402,Kaffrine,Kaffrine,16
SN0901,Kanel,Matam,17
SN0502,Kaolack,Kaolack,18
SN0801,Kebemer,Louga,19
SN0601,Kedougou,Kedougou,20
SN0701,Kolda,Kolda,21
SN1203,Koumpentoum,Tambacounda,22
SN0403,Koungheul,Kaffrine,23
SN0802,Linguere,Louga,24
SN0803,Louga,Louga,25
SN0404,Malem Hodar,Kaffrine,26
SN0902,Matam,Matam,27
SN0203,Mbacke,Diourbel,28
SN1301,Mbour,Thies,29
SN0702,Medina Yoroufoula,Kolda,30
SN0503,Nioro Du Rip,Kaolack,31
SN1402,Oussouye,Ziguinchor,32
SN0103,Pikine,Dakar,33
SN0903,Ranerou,Matam,34
SN0104,Rufisque,Dakar,36
SN1003,Saint Louis,Saint Louis,37
SN0602,Salemata,Kedougou,38
SN0603,Saraya,Kedougou,39
SN1103,Sedhiou,Sedhiou,40
SN1204,Tambacounda,Tambacounda,41
SN1302,Thies,Thies,42
SN1303,Tivaoune,Thies,43
SN0703,Velingara,Kolda,44
SN1403,Ziguinchor,Ziguinchor,45
SN1002,Podor,Saint Louis,35
