rural_agri_aqua,urban_agri_aqua,rural_livestock,urban_livestock,rural_professional,urban_professional,rural_services,urban_services,rural_small_business,urban_small_business,rural_trades,urban_trades
63255.5,197903.5,60860,69881.5,481893,917513,NaN,592985.5,164929,227245.5,393968.5,629734.5
40876.5,NaN,27262.5,90762,332027.5,556799.5,305325,384813,106244.5,142424.5,331036.5,NaN
70935.5,68853,44330.5,60089,628961.5,995196.5,344059.5,421171.5,144343.5,179266,289758.5,336606
99699.5,166040.5,45148.5,59926.5,447455.5,NaN,336175,NaN,225443,347187.5,261900,425126
103569,160653.5,42760,39267.5,433506.5,632838,346543,498484,172380.5,245533.5,268712,609281.5
193626,202843.5,48112.5,48813.5,396229,620528,277538,328338,78328.5,74281,265386,624610.5
42186.5,69984.5,38530,33403,277575.5,382292,219389,249047.5,119370.5,143232.5,280410.5,584084.5
44939,61242.5,18091,57099,485252.5,1032659.5,235904,319607.5,77377.5,119271.5,205115,273247
175159,136597.5,100881,37271.5,377877.5,679121.5,334755.5,434380,138252.5,192042.5,347007,316281
116552,64279,34022,40916.5,499394.5,1033913,NaN,478548.5,169107,247768,330934,608404
129281,NaN,64139,50884.5,453255,893360.5,NaN,NaN,149874,211695,288561.5,452041
82706,101458.5,19290.5,11376.5,446776.5,924760.5,347206,485902,162667,186649.5,305213,568877.5
112789.5,216573.5,73268.5,81364.5,462452.5,845883.5,348313.5,490338,117936,140241.5,213391.5,336277.5
120624.5,194327.5,20975,27225.5,388112,630781.5,279561,334378.5,120435.5,179915.5,286135,518030
86782,151297.5,91141,98104.5,348037,551354.5,295916.5,382601,103537,142754.5,219318,338975
91519,261621.5,45861,30550,451642.5,841566.5,396173,513419.5,172712.5,216904,426004,662822
113967,133566,50343,67997,497952,1081460.5,347662,460189,110291,153829.5,322831,505028.5
67053,87707,37308.5,59493.5,585862.5,1093149.5,368987,548230.5,179006,234131,368069,830906.5
99811.5,74101,45718.5,21909.5,471963,828403,296124,384002.5,130692,175198.5,208196.5,325009
83767,114585,36815,68023,377999.5,674648,292616.5,369780,135940,220339.5,257286,421720.5
55735,92100.5,43376.5,36949,380918.5,NaN,314378,425832,147106.5,190632,322521.5,570818
86932.5,132292.5,93472.5,58677.5,464657,918059,294030,403974.5,96652,153060,302575,393221
53388,75945,69380.5,92779.5,494999.5,1056246.5,371719.5,480513,132388.5,238941,350520.5,801839.5
70213.5,98952,43629.5,42353,295611.5,533459.5,248276,344719,43896.5,53735.5,312864,474233.5
68547.5,330240,29070.5,46932,439777.5,626781.5,410049,645353,136014.5,202188,376549,876283
93136,168396,32257.5,53451.5,422899,755401,342890,489030,120285,153628,276655,NaN
43928.5,61491,97918,78411.5,473462,970893,342166.5,466958,203049,354873.5,278503,462598.5
172085,NaN,63794,NaN,414210,NaN,NaN,NaN,156913.5,NaN,274692.5,NaN
103844,172431,55415.5,19061,433363,867262,280790.5,348821,156655.5,199083.5,252472.5,499619.5
128727,NaN,NaN,NaN,417895,NaN,308589,NaN,251269,NaN,247611.5,NaN
66125,81063,90943,30324,368710,586337.5,349004.5,441731.5,93016.5,116150,383291.5,417203.5
92196,NaN,91311.5,NaN,425076,NaN,NaN,NaN,190241,NaN,NaN,NaN
131038.5,150180.5,132757,105487.5,561977.5,1047781,388394.5,596500,177793,233771,586168.5,670648.5
85451.5,1020002.5,85882.5,47576,422884,821692.5,318899.5,429510.5,119221,157152,328619,571812.5
80671.5,68107,27276,27497.5,420414.5,822746.5,290571,396797.5,108559,149304.5,NaN,NaN
62791.5,NaN,76571,NaN,418469.5,NaN,368547,NaN,162538.5,NaN,360023.5,NaN
118461,109971,52425,19900.5,411128,881454,351470.5,522023.5,181563,285152.5,289678.5,619683.5
51684.5,132644,57373,44159,400178.5,616417,312284.5,462778,148965,190482,574924.5,685139
159781,1631284,51225,85680.5,423465,751618,347535.5,542431.5,153712.5,248985.5,334906,790850.5
162184,NaN,53835.5,114602.5,498269,871113,409912,512993.5,178854,267982.5,477547.5,864353
74330.5,98044,74309.5,36793,446401,887894,411789,635084.5,201704,218778,233808,508965.5
69910,99719,35130,13573,438768.5,695905,327990.5,441671.5,142869.5,212153.5,252895,379563.5
NaN,174479.5,NaN,85283.5,NaN,1231834,NaN,701451.5,NaN,391773.5,NaN,1054627.5
NaN,57913.5,NaN,177511,NaN,617828,NaN,622639.5,NaN,250107,NaN,763349
NaN,NaN,NaN,122984.5,NaN,715979.5,NaN,733610,NaN,357494.5,NaN,537760
