sector,education,pred_mean,pred_80lb,pred_80ub,pred_90lb,pred_90ub
agri_aqua,no education,0.8427694975541099,0.8306311492778924,0.855186143107968,0.8272138436876783,0.8587839633286019
agri_aqua,primary,0.09427403460413984,0.08709882126049144,0.10103706625697241,0.08501443014676227,0.10338099538204859
agri_aqua,secondary,0.03698275056694803,0.033585843066195,0.0405380264387813,0.03275474397350948,0.04130846315792906
agri_aqua,high_school,0.013222695534821626,0.01183655143727812,0.014605043311189348,0.01147077218426943,0.01499706279989051
agri_aqua,tertiary,0.012751021739980557,0.011400737618533208,0.014057527401540848,0.011041391715416703,0.014543913347499077
livestock,no education,0.7918258853655381,0.7768852039224198,0.8064781309184962,0.7729555353922405,0.8098370162001229
livestock,primary,0.12167534795233384,0.1143042493753389,0.12971587389430864,0.11176100579442803,0.13198905059647179
livestock,secondary,0.050274548377397574,0.04603057014167905,0.054588760001822556,0.045012613088663514,0.05588133202547995
livestock,high_school,0.01834441328656717,0.016530881349026572,0.020300860245886454,0.01607946853019036,0.020745632267002892
livestock,tertiary,0.017879805018163258,0.016015623580865234,0.019757887814479513,0.015611141406681978,0.02021963580407054
professional,no education,0.2639577132801437,0.2527397908014817,0.2754974333914756,0.2493142466272336,0.27881956729155105
professional,primary,0.23503035165878117,0.22876785429995544,0.2417416660300798,0.22645661829364888,0.2431207757042554
professional,secondary,0.21605110592548,0.20803227874750682,0.22388308706026797,0.20605846663117178,0.22649885950821036
professional,high_school,0.12316619288989644,0.11638823816746316,0.13018948693562404,0.1142528451170931,0.13224265042739444
professional,tertiary,0.16179463624569865,0.1529896036295565,0.17101199328045041,0.15069864243275827,0.1738827487394488
services,no education,0.47902006542913145,0.46232007367180405,0.4950744093483914,0.4567286421375173,0.5008857490727173
services,primary,0.2395341679145473,0.23271045055950346,0.2459563582104222,0.23041268789899114,0.2479934007960301
services,secondary,0.14687656971821417,0.13944620591334797,0.15374882760493053,0.13765927552426954,0.15652089414975587
services,high_school,0.06452513893357294,0.05969378842990833,0.06915670107858671,0.05860198856422563,0.07086262213178723
services,tertiary,0.07004405800453416,0.06467066492983266,0.07521685052492377,0.06339803664718065,0.07717589711703454
small_business,no education,0.6930900778775672,0.6846221852592138,0.7015884690930008,0.6822159205092588,0.7040131901003877
small_business,primary,0.16941764569841747,0.16428732767748305,0.17455090599036954,0.16249161198065987,0.17605467859417254
small_business,secondary,0.07799321660574406,0.07436729373581771,0.08164373627710823,0.07331182746759744,0.08243761114479661
small_business,high_school,0.02976999421541977,0.02804954330783337,0.03180526428137118,0.02743843679677117,0.032425561797869734
small_business,tertiary,0.029729065602851483,0.027855005068778128,0.031627311093958776,0.027394839436042803,0.032214519065162234
trades,no education,0.53178822432494,0.5149158229588005,0.5480841887325463,0.5100331530358149,0.5532889709808607
trades,primary,0.22746746951968017,0.22043983353650864,0.23432318601397326,0.21857689366619287,0.23684855774625718
trades,secondary,0.12895240753767878,0.12213741785097967,0.13634560900322323,0.11987613850252633,0.1384549459139673
trades,high_school,0.05433328694937409,0.05047891503301566,0.05833080473279669,0.0490062352523591,0.05935367118982616
trades,tertiary,0.05745861166832703,0.053139361715291614,0.06186246208334035,0.05194864688982741,0.06327573804440857
