sector,urban,admin,draw_1,draw_2,draw_3,draw_4,draw_5,draw_6,draw_7,draw_8,draw_9,draw_10,draw_11,draw_12,draw_13,draw_14,draw_15,draw_16,draw_17,draw_18,draw_19,draw_20,draw_21,draw_22,draw_23,draw_24,draw_25,draw_26,draw_27,draw_28,draw_29,draw_30,draw_31,draw_32,draw_33,draw_34,draw_35,draw_36,draw_37,draw_38,draw_39,draw_40,draw_41,draw_42,draw_43,draw_44,draw_45,draw_46,draw_47,draw_48,draw_49,draw_50,draw_51,draw_52,draw_53,draw_54,draw_55,draw_56,draw_57,draw_58,draw_59,draw_60,draw_61,draw_62,draw_63,draw_64,draw_65,draw_66,draw_67,draw_68,draw_69,draw_70,draw_71,draw_72,draw_73,draw_74,draw_75,draw_76,draw_77,draw_78,draw_79,draw_80,draw_81,draw_82,draw_83,draw_84,draw_85,draw_86,draw_87,draw_88,draw_89,draw_90,draw_91,draw_92,draw_93,draw_94,draw_95,draw_96,draw_97,draw_98,draw_99,draw_100
agri_aqua,rural,Bakel,68005,71638,68890,50181,23746,32790,36180,99227,65420,45721,71323,60084,87233,59860,48825,63939,59486,106902,83930,84837,46668,50006,68762,94091,64827,47802,89651,88030,50290,87881,64902,65700,84644,113981,55635,55286,80674,60458,41417,72297,75944,107875,68133,74450,84038,38343,58625,213788,58729,80243,58088,56272,54404,31176,56207,46002,51503,119799,49523,84991,71815,42457,94437,57992,46913,50924,49244,103859,76685,78026,51900,53422,41623,44168,76098,106684,60262,78435,54963,77479,60804,61326,95081,63634,105716,82163,159414,51897,37808,63962,86988,74681,52624,95077,52947,79815,60520,71919,80698,41439
agri_aqua,rural,Bambey,31063,34152,49971,41961,36219,46760,41238,31827,35563,59644,36913,24325,54364,55064,37547,30799,44192,53059,41324,46547,49249,41353,55839,36972,40483,51176,44203,40118,27245,66627,28161,61270,68888,55982,42956,33340,28631,61169,54511,34765,47524,26065,56247,46221,65632,25957,33199,27919,87174,40952,30950,31168,52695,43310,42517,32544,53490,37281,75233,49865,39178,25638,76170,55416,29647,41820,70968,44348,32553,29659,30185,30758,56412,32732,37850,27367,33550,34902,31788,36103,24554,39430,48395,40256,21020,34680,40791,30723,61100,49600,46275,34144,65510,47403,38431,40844,36757,32053,36751,42703
agri_aqua,rural,Bignona,69650,100690,39728,78504,67197,45065,93654,87204,100230,55072,56690,55719,89415,100614,70664,76311,53290,40462,55751,48193,67888,70822,82990,81377,105169,143022,90721,94406,41839,82303,57908,86961,42499,85161,55037,72752,88681,86446,68291,61692,57789,54745,87466,94493,71296,80265,79759,89691,96077,39550,46176,72963,64417,69869,35750,99284,27943,77083,79958,67141,53000,93672,75180,54568,98751,108911,83265,81285,84099,115166,83743,75577,48048,89020,66011,39071,50969,111956,68013,56242,75418,116762,111073,50500,64605,108582,58908,121482,91146,114930,61381,97060,82458,63977,93792,101457,62176,97400,67981,55027
agri_aqua,rural,Birkelane,96371,98421,70452,135103,78201,85183,101629,119215,106580,95905,109333,100655,63537,110192,144836,97284,95101,101517,78998,88316,106676,132977,83709,88223,113199,104296,102180,86293,156463,140669,108390,98618,125021,116193,101806,101686,99842,82864,121449,87221,105070,89512,105483,115869,124983,102302,85782,123953,92574,90335,115499,91815,78386,107729,78242,102181,128228,128299,97453,103605,93974,105110,67025,123052,76768,113548,75974,117417,97677,122085,76647,89184,74228,106019,81653,97697,118548,91827,105793,92497,112966,107423,104032,103383,102853,139676,98491,81260,109468,84412,120271,118015,106099,122018,109932,132541,91362,128512,134228,77853
agri_aqua,rural,Bounkiling,123336,147922,113308,115794,113024,122963,122096,82287,108009,95714,124350,107186,107900,116142,144429,112297,99685,85032,114234,97610,91567,125792,99373,115875,98783,101694,94022,114970,147648,102996,120902,82941,112740,115779,116130,158884,74393,102869,121563,107941,136000,109403,139660,142279,111640,127687,86872,114004,129526,92375,78553,150010,114501,113626,100302,111508,100696,85360,115670,103373,98467,124778,114760,99295,116887,106129,107161,92447,70294,119842,84972,62319,122116,104556,125907,126710,95454,72997,98839,97992,102908,131038,110394,107583,128368,75682,100803,93214,134149,94833,92203,103461,98690,135918,110572,84272,77192,89669,105300,120305
agri_aqua,rural,Dagana,156857,319072,368875,243792,219803,138426,164773,167901,118345,201069,134952,209586,191893,204467,158512,141304,169757,190118,210819,181020,284513,213642,334421,214142,289556,160324,245186,115594,177116,163592,225468,147582,178725,220470,222698,210118,150772,202220,239865,150009,170998,266716,137594,238117,221005,248916,220516,145845,218986,138301,161301,187601,188743,164636,198769,131324,150120,235985,267908,235639,213314,198078,196706,106206,204764,151728,159781,155181,225553,218052,206828,152967,169323,213768,278836,189118,196772,211818,239328,289839,166273,211582,151553,196869,184738,135443,234944,191858,200895,157503,193352,155529,126827,206328,134229,159043,147378,172073,208967,195609
agri_aqua,rural,Diourbel,47169,40929,42857,37012,36818,33218,36156,48615,35199,42509,30621,47722,34566,44595,53593,48211,42272,40512,34582,37844,63361,34802,53595,33335,30414,38639,46236,41392,33301,41261,39308,52699,35125,49056,42187,35525,58389,44273,37256,42606,43551,38663,27997,44051,55589,28443,41879,72946,39361,33454,39285,53130,44538,58749,55230,35594,40313,48704,45660,38659,32874,47844,48329,52612,46622,55544,38637,51538,50682,33693,37248,49238,41035,38246,37451,41361,43937,28226,49495,39588,40976,33455,54090,33873,46356,59996,34381,35823,37860,49827,44605,45927,36545,44270,47210,50150,39025,41194,53122,38899
agri_aqua,rural,Fatick,57751,43530,49711,53856,43929,60475,55130,49186,47886,66076,37742,43525,38681,67057,33898,51542,39073,39393,45221,31563,40199,45381,54392,48783,38690,46698,32452,33688,67282,40984,44169,44703,54658,49785,38424,49341,57563,37237,38046,47646,55884,45076,40414,45616,33540,34531,54660,48986,44327,47850,43314,36929,40927,47016,36216,34012,36853,40765,41230,42743,41518,30701,49943,46027,51083,52297,59027,43428,51012,53552,49433,43179,38925,36666,46085,49907,38479,38853,51046,42217,48022,43653,52792,45336,41677,52278,48077,45884,39944,47711,59953,42228,50438,39132,35844,49426,62354,43477,42303,44910
agri_aqua,rural,Foundiougne,185114,159403,185658,182378,164085,146109,157373,179768,180047,158776,184617,146004,213160,171650,168323,200863,181959,191760,178918,184656,147757,171914,177805,139745,175196,189096,149129,171257,181010,198938,169055,155208,208299,198421,195419,210941,219468,179672,138824,164411,143818,165951,178906,154338,182500,196278,181672,185113,145560,198503,163653,229788,191840,139834,176937,222805,180087,180910,183527,152051,157999,158158,170000,179588,146985,148178,167427,192060,176336,165080,162193,166699,164836,183393,205589,177837,150797,143264,192752,169694,171400,159635,187280,165286,148941,201716,210604,166118,173426,173352,187109,135873,184844,209436,190022,225275,170388,195706,171768,196088
agri_aqua,rural,Gossas,93953,100328,112453,91470,115247,91321,115795,75397,115154,105294,74153,167682,115763,95444,142182,97676,95854,173309,138839,98109,132302,110593,152766,98538,93563,114480,83277,87974,78736,171094,92156,111017,74553,111912,98496,97326,65599,185212,118117,65127,76405,161987,124909,83329,56110,144113,82512,89608,188193,157127,105207,101780,130116,127950,161327,131199,100596,118086,93617,134287,149643,201893,127732,92113,130371,65854,83899,186206,109493,109565,123927,97728,122159,128044,71653,113555,109812,129155,134877,83661,151721,89165,88087,82083,82412,131537,117676,77197,130192,147357,114531,110488,100438,143248,106051,93618,113552,125967,86121,94610
