sector,urban,admin2,draw_1,draw_2,draw_3,draw_4,draw_5,draw_6,draw_7,draw_8,draw_9,draw_10,draw_11,draw_12,draw_13,draw_14,draw_15,draw_16,draw_17,draw_18,draw_19,draw_20,draw_21,draw_22,draw_23,draw_24,draw_25,draw_26,draw_27,draw_28,draw_29,draw_30,draw_31,draw_32,draw_33,draw_34,draw_35,draw_36,draw_37,draw_38,draw_39,draw_40,draw_41,draw_42,draw_43,draw_44,draw_45,draw_46,draw_47,draw_48,draw_49,draw_50,draw_51,draw_52,draw_53,draw_54,draw_55,draw_56,draw_57,draw_58,draw_59,draw_60,draw_61,draw_62,draw_63,draw_64,draw_65,draw_66,draw_67,draw_68,draw_69,draw_70,draw_71,draw_72,draw_73,draw_74,draw_75,draw_76,draw_77,draw_78,draw_79,draw_80,draw_81,draw_82,draw_83,draw_84,draw_85,draw_86,draw_87,draw_88,draw_89,draw_90,draw_91,draw_92,draw_93,draw_94,draw_95,draw_96,draw_97,draw_98,draw_99,draw_100
agri_aqua,rural,Rufisque,246686,170810,118792,478849,148205,67069,178345,122487,364667,237885,164875,320850,214622,223819,157111,94925,82845,212229,133824,111104,167893,145549,174348,172322,176933,351182,99040,135704,102126,157642,108901,298418,180205,88300,63249,261380,169281,127865,168744,208116,217385,201185,115312,148816,201569,124410,189269,76925,186828,137948,113817,302471,189923,128933,283016,91441,231618,76154,218616,166674,135547,200841,277943,403439,341697,225414,253693,286453,289932,242979,75468,340527,157744,211858,277208,145039,197196,151090,176546,273854,76716,138962,305908,82554,155698,165886,99791,217498,242946,234842,103453,176171,122775,341584,260706,124877,81110,106088,147138,220483
livestock,rural,Rufisque,117759,144699,176783,170734,81385,133432,145764,99427,115483,102934,112198,227081,97347,129430,149398,166349,94566,119370,110422,86170,157780,95408,139114,91872,116720,206730,101490,96485,129202,137464,115583,96123,83878,134177,55264,203948,221195,263032,113629,268641,147083,253774,96940,75790,99883,169913,113275,71104,163263,388508,125509,223621,135207,124738,142183,180510,181816,103126,112365,128050,143663,146059,120831,245966,86756,141059,167841,273146,123989,255462,95763,217012,113548,154050,148528,186292,182978,228646,72785,193499,147589,136338,74332,130819,69252,199856,136444,186348,141835,179206,291254,85792,238206,91217,202349,160995,196760,148132,152677,243278
professional,rural,Rufisque,663211,489749,470734,466561,522364,431653,588439,630525,485047,591537,483536,727558,529664,540367,650837,680723,610610,602378,655824,552936,530358,441003,494914,536972,530220,685125,548009,624076,575505,526733,529944,534343,597749,537136,584985,375378,532773,574243,405923,481421,662613,652014,486165,718908,662088,584392,691748,518805,508353,647234,612180,499857,695281,602198,513091,464682,605473,566073,498770,660515,624106,762422,492843,636487,502229,508170,520467,636337,495033,606207,752471,513948,780427,641361,522702,489623,539859,570835,523356,641405,610954,503266,499673,829601,532830,573282,655871,675814,597959,573287,595924,597129,500663,550265,495258,647496,662341,538314,513220,549318
services,rural,Rufisque,321102,307077,369297,393137,323369,281541,371151,377421,352201,430592,445890,459599,387561,258613,410197,391270,518503,312001,281375,469474,405065,515548,434049,370539,274033,447067,467206,472461,367988,442710,381825,440037,386966,493501,644097,369838,424933,332401,331850,320742,404757,374871,290504,445056,312134,452213,348992,394235,491594,424512,399789,358022,433151,288420,527964,472273,436569,331683,419158,315826,499554,448409,404625,421977,272091,287024,358691,341896,356106,432681,404375,467095,384841,465955,366154,394610,618437,381113,548449,495789,401699,310245,427463,500503,391708,408289,487105,419322,385028,368009,424294,493917,363615,327636,370038,550313,456408,431393,425807,513227
small_business,rural,Rufisque,181320,212549,190331,169083,164508,148642,170966,202900,179616,151491,155078,145430,171057,197591,142904,156315,202129,155102,199736,171657,136349,160072,215113,179237,200828,199381,196141,176395,216863,182196,163647,176535,186305,218888,193883,153606,150898,173368,173611,165257,185888,166326,181040,147878,179320,186405,166349,197372,183189,195685,184983,135762,208709,170359,206275,166335,186095,185247,162960,142189,179083,156415,204307,215408,180527,173366,213111,201015,215496,173332,161680,187933,162641,187187,140404,182215,133218,175623,196187,186785,194996,146744,180534,184037,185723,152010,200739,203651,202838,198082,206030,182907,171230,192663,233255,164396,168162,159979,177173,171897
trades,rural,Rufisque,730115,600649,525419,640369,724848,693141,672968,634606,590231,668658,552464,520694,559891,630602,541458,642513,664226,664352,659739,620238,746048,630259,493593,577475,653224,688071,622911,577959,683373,694889,635890,507631,713961,584474,572793,580377,619590,543531,574033,676183,774149,773101,682433,576387,632825,582753,712879,694262,625030,721857,612736,477529,681386,589194,627778,498631,657517,723785,673509,663945,487067,548556,473109,823600,632143,625962,705452,632603,460779,659029,744286,706701,666682,609139,601868,500468,579289,768259,590679,645131,691023,582014,535606,621435,727031,744159,838215,716584,586518,787847,575041,679450,642544,630643,667785,630614,599587,487173,665292,625126
agri_aqua,urban,Dakar,399142,433143,84858,230088,63768,328945,156286,182329,223227,298152,383167,295148,69663,320970,163715,65431,235841,176782,118972,253504,149801,182562,482490,550007,328322,94540,130573,440696,162049,305739,169745,122226,65779,250979,250141,465497,141360,155878,141386,301819,127672,389822,170528,208386,262652,435931,46338,95040,471988,97275,119729,195936,118814,189441,336625,199992,131365,368193,513118,238274,372197,496619,47966,159534,501423,88374,89352,402907,125341,192907,250994,61834,173596,209591,144670,56578,562992,264513,259940,78709,167246,232731,416974,82067,123482,92718,69624,262011,184738,1175689,350150,347112,159943,156476,33253,361764,368255,52672,70563,241165
agri_aqua,urban,Pikine,137410,58301,302656,55779,34500,104762,87905,18694,69317,36427,116278,94260,43086,69394,59850,75336,19171,70365,37053,39979,97208,81840,33283,227180,21602,181724,21214,64271,54401,28851,61189,181367,23923,167481,27885,87051,22612,52561,87219,14378,192355,54956,134034,18563,135877,54081,186951,54898,132848,141710,142459,72915,140106,208131,153216,86023,187886,134107,38009,33235,35113,33798,49126,160551,76790,264455,19878,30277,93359,76596,83717,52827,86277,27376,56579,17664,73055,36018,47577,82296,31855,102075,33908,29454,49542,33096,76819,23134,91615,35331,101302,105948,36267,51480,15644,36749,32881,41982,50464,28757
agri_aqua,urban,Rufisque,171904,92029,109790,106288,137279,160318,261559,80462,44928,107799,237534,117947,105426,80227,113193,115685,38161,90094,65870,64743,334838,265090,280590,289103,90251,181762,324838,42242,125159,67697,61869,187361,95906,179837,155278,125429,162543,101769,448763,207125,108465,190329,145952,294984,40196,203353,338377,712107,93577,205688,119758,101474,130836,200184,105748,233774,287078,128986,113907,46895,111221,65177,342935,32375,21632,356958,157655,112215,49737,87344,75610,139092,125384,138239,75324,67042,29604,191518,142064,58590,135662,88403,74755,250063,155248,178746,131153,125533,55955,135137,96103,155472,313267,64942,35558,47687,141236,58906,70763,210080
livestock,urban,Dakar,84336,54120,57165,93508,49168,96946,164361,49275,76706,238797,137817,87880,64138,158721,113853,49957,35892,57381,80714,54897,44302,165790,48805,73719,32027,58630,44008,37860,77407,31505,100896,110260,89390,69972,31203,82560,140596,124225,73971,95379,64224,57672,110734,91838,46325,91958,49470,97571,62680,50633,67161,66207,108717,108789,59999,96387,76483,26347,49300,133032,73787,104846,69017,85271,73961,78128,85316,94907,40577,70446,122879,81904,52222,33550,74785,141887,129353,67930,72431,114841,56241,68613,64915,26760,66494,91441,81254,41860,137898,62688,76653,70384,29284,61428,128172,85748,48454,86882,97125,62695
