sector,urban,admin,pred_med,pred_80lb,pred_80ub,pred_90lb,pred_90ub
agri_aqua,rural,Bakel,63255.5,41606.4,97920.20000000001,36646.15,109464.74999999999
agri_aqua,rural,Bambey,40876.5,27830.300000000003,60836.3,24797.9,68185.09999999999
agri_aqua,rural,Bignona,70935.5,48165,102857.2,42136.649999999994,116368.34999999999
agri_aqua,rural,Birkelane,99699.5,76772.5,130184.6,70445.05,140472.35
agri_aqua,rural,Bounkiling,103569,82955.4,133825.30000000002,77423.90000000001,142713.85
agri_aqua,rural,Dagana,193626,145775.9,266532.9,132793.15,292039.54999999993
agri_aqua,rural,Diourbel,42186.5,33380,53520.700000000004,31464.149999999998,56221.54999999999
agri_aqua,rural,Fatick,44939,36547.9,55907.50000000001,33894.95,59756.34999999999
agri_aqua,rural,Foundiougne,175159,146917.8,211418.1,140046.8,222707.1
agri_aqua,rural,Gossas,116552,80544.1,160538.2,73161.8,177823.8999999999
agri_aqua,rural,Goudiry,129281,90559.70000000001,190642.2,80547,215211.4
agri_aqua,rural,Goudomp,82706,63647.7,107097.7,59231.65,115155.84999999999
agri_aqua,rural,Guinguineo,112789.5,84150.3,152393.4,76946.95,164480.14999999997
agri_aqua,rural,Kaffrine,120624.5,97209.59999999999,148726.5,91199.55,157604.39999999997
agri_aqua,rural,Kanel,86782,56318.5,134685.40000000002,49545.3,154805.69999999998
agri_aqua,rural,Kaolack,91519,77960.2,107252.2,74480.79999999999,111649.14999999998
agri_aqua,rural,Kebemer,113967,87351.5,150854,79402.75,161529.15
agri_aqua,rural,Kedougou,67053,45446.4,97680.6,41855.049999999996,111537.29999999999
agri_aqua,rural,Kolda,99811.5,80225.3,123017.1,76489.75,130013.75
agri_aqua,rural,Koungheul,83767,68145.7,102224.7,64177.45,107391.7
agri_aqua,rural,Koupentoum,55735,44544.9,70099.2,41849.2,74928.09999999999
agri_aqua,rural,Linguere,86932.5,63397.4,119999.90000000001,58361.25,131538.55
agri_aqua,rural,Louga,53388,41247.3,69538.5,38016.350000000006,75055.55
agri_aqua,rural,M.backe,70213.5,50455.7,96999.1,46174.1,105659.05
agri_aqua,rural,M.bour,68547.5,46674.200000000004,98019.70000000001,42593.25,113365.94999999998
agri_aqua,rural,Malem.Hoddar,93136,68697.4,127800.8,61674.700000000004,140490.55
agri_aqua,rural,Matam,43928.5,30934.5,64199.4,28512.75,70714.2
agri_aqua,rural,Medina.Yoro.Foulah,172085,136453.6,214904.30000000002,127796.35,228832.65000000002
agri_aqua,rural,Nioro,103844,90421.7,118895.7,86967.2,123391.79999999999
agri_aqua,rural,Oussouye,128727,79429.79999999999,200183.2,68956.9,233014.04999999987
agri_aqua,rural,Podor,66125,45504.5,95050.5,40530.3,105665
agri_aqua,rural,Ranerou,92196,48691.2,166910.5,41517.75,201642.24999999994
agri_aqua,rural,Rufisque,131038.5,76159.6,223551.2,64626,266522.8999999999
agri_aqua,rural,Saint.Louis,85451.5,61285.5,123369.40000000001,56528.55,135146.24999999994
agri_aqua,rural,Salemata,80671.5,58673.6,109209.8,52486.100000000006,120332.54999999999
agri_aqua,rural,Saraya,62791.5,45980.8,89300.1,41858,98656.1
agri_aqua,rural,Sedhiou,118461,85099.9,169110.8,76813.2,188776.35
agri_aqua,rural,Tambacounda,51684.5,39400.4,69305.4,36872.6,75138.7
agri_aqua,rural,Thies,159781,117919.20000000001,216285.7,105722.90000000001,230907.8
agri_aqua,rural,Tivaouane,162184,128951.70000000001,206349.6,119131.4,224183.65
agri_aqua,rural,Velingara,74330.5,61627.9,89586.3,58699.45,95895.25
agri_aqua,rural,Ziguinchor,69910,42408.4,115769.40000000001,36541.75,135553.99999999997
agri_aqua,urban,Bakel,197903.5,82150.20000000001,443802.7,62802.200000000004,547921.8499999999
agri_aqua,urban,Bignona,68853,31661,137893.80000000002,24971.5,164553.2999999999
agri_aqua,urban,Birkelane,166040.5,88763.8,301884.8,75147,350421.49999999965
agri_aqua,urban,Bounkiling,160653.5,105132.7,247303.4,89838.7,275292.5
agri_aqua,urban,Dagana,202843.5,136785.3,309300.7,120123.85,343282.94999999995
agri_aqua,urban,Dakar,174479.5,80678.20000000001,385504.10000000003,63836.6,495595.4999999998
agri_aqua,urban,Diourbel,69984.5,39978.600000000006,122091.20000000001,35077.5,147346.64999999997
agri_aqua,urban,Fatick,61242.5,36814.2,100348.40000000001,32618.3,112027.44999999998
agri_aqua,urban,Foundiougne,136597.5,102204.90000000001,186039.1,92270.05,202165.15
agri_aqua,urban,Gossas,64279,30969.4,130232.3,25566.7,162235.19999999998
agri_aqua,urban,Goudomp,101458.5,67353.1,155993.30000000002,57867.3,171689.95
agri_aqua,urban,Guinguineo,216573.5,136267.5,333982.8,118545.3,377721.7499999998
agri_aqua,urban,Kaffrine,194327.5,135309.5,278190.10000000003,123820.1,311975.25
agri_aqua,urban,Kanel,151297.5,93083.20000000001,238656.8,82304.95,270734.05
agri_aqua,urban,Kaolack,261621.5,157596.2,450103.10000000003,131571.2,524475.2
agri_aqua,urban,Kebemer,133566,63989.4,276587.9,49041,333270.85
agri_aqua,urban,Kedougou,87707,57435.1,128306.1,49805.45,142607.49999999997
agri_aqua,urban,Kolda,74101,48332.600000000006,116500.8,42286.75,130635.34999999999
agri_aqua,urban,Koungheul,114585,69383.1,205255.2,57269.95,237949.84999999998
agri_aqua,urban,Koupentoum,92100.5,40655.9,223746.6,31129.950000000004,271809.55
agri_aqua,urban,Linguere,132292.5,85929.1,200527.9,74736.90000000001,232421.39999999994
agri_aqua,urban,Louga,75945,37570.5,147794.7,31726.55,175296.79999999996
agri_aqua,urban,M.backe,98952,49971.9,186650.30000000005,42401.25,223924.99999999988
agri_aqua,urban,M.bour,330240,154380.7,652575.3,129649,784859.85
agri_aqua,urban,Malem.Hoddar,168396,92235.20000000001,313418.7,77363.55,385367.69999999995
agri_aqua,urban,Matam,61491,28706.4,140542.00000000003,23652.550000000003,180454.94999999998
agri_aqua,urban,Nioro,172431,107564.79999999999,271705.7,92026.95,313014.64999999997
agri_aqua,urban,Pikine,57913.5,24240.100000000002,153644.70000000004,19671.05,205864.34999999998
agri_aqua,urban,Podor,81063,44833.200000000004,143964.9,38305.65,167444.64999999997
agri_aqua,urban,Rufisque,150180.5,57347.8,372521.39999999997,42239.2,500842.84999999986
agri_aqua,urban,Saint.Louis,1020002.5,587757.1000000001,1774843.8000000003,511116.95,2011830.9
agri_aqua,urban,Salemata,68107,25311.800000000003,169221.09999999998,18678.95,223504.04999999996
agri_aqua,urban,Sedhiou,109971,59950.5,195761.30000000002,50503.75,223525.19999999992
agri_aqua,urban,Tambacounda,132644,69460.4,241818.00000000003,57851.85,297660.1999999999
agri_aqua,urban,Thies,1631284,1023869.6,2467487.2,896477.8,2749502.7
agri_aqua,urban,Velingara,98044,72209.8,135254.7,65955.3,145929.09999999998
agri_aqua,urban,Ziguinchor,99719,59348.200000000004,169013.30000000002,50103.75,198623.04999999987
livestock,rural,Bakel,60860,40957.2,88526,37494.55,98080.35
livestock,rural,Bambey,27262.5,20313.4,36260.9,18873.5,39911.1
livestock,rural,Bignona,44330.5,29144.8,66086.3,26567,73242.89999999997
livestock,rural,Birkelane,45148.5,30036.300000000003,70092.8,27111,75421.79999999999
livestock,rural,Bounkiling,42760,31367.9,59728.00000000001,28500.4,65722.59999999999
livestock,rural,Dagana,48112.5,35353.6,64888,32313.899999999998,69721.75
livestock,rural,Diourbel,38530,26463.8,55392.9,23893.45,61340.049999999996
livestock,rural,Fatick,18091,14560.5,22708.8,13799,24088.65
livestock,rural,Foundiougne,100881,68781.3,146371.5,62041.15,165476.65
livestock,rural,Gossas,34022,21685.8,53049.9,18500,60539.05
livestock,rural,Goudiry,64139,41099.5,101166.6,36746.45,116819.84999999996
livestock,rural,Goudomp,19290.5,11923.099999999999,30305,10338.1,34022.2
livestock,rural,Guinguineo,73268.5,50272.1,104129.30000000002,45506.4,118530
livestock,rural,Kaffrine,20975,15751.2,28369.300000000003,14299.45,30326.899999999994
livestock,rural,Kanel,91141,66902.8,122604.5,61050.65,133612.85
livestock,rural,Kaolack,45861,32656.7,65386.6,29603.6,71607.84999999998
livestock,rural,Kebemer,50343,37718.299999999996,65437.1,35129.05,68715.95
livestock,rural,Kedougou,37308.5,27196.6,49416.5,24929.9,53562.85
livestock,rural,Kolda,45718.5,33837.9,60329.8,31519,65312.75
livestock,rural,Koungheul,36815,27645.5,49381.50000000001,25104.399999999998,53883.24999999999
livestock,rural,Koupentoum,43376.5,31561.7,60399.100000000006,28817.7,65301.09999999999
livestock,rural,Linguere,93472.5,71223.8,120591.9,66379.2,131106.94999999998
livestock,rural,Louga,69380.5,54247,89565.7,49240.25,96125.45
livestock,rural,M.backe,43629.5,32305.5,59198.6,29093.300000000003,63258.85
livestock,rural,M.bour,29070.5,21697.7,37896.5,20250.649999999998,41082.899999999994
livestock,rural,Malem.Hoddar,32257.5,22150.5,45480.7,20608.449999999997,50315.049999999996
livestock,rural,Matam,97918,74273.8,129317.6,67506,138147.94999999998
livestock,rural,Medina.Yoro.Foulah,63794,44054.399999999994,95802.6,40692.700000000004,106447.90000000001
livestock,rural,Nioro,55415.5,40750.9,75506.5,36653.1,82914.69999999998
livestock,rural,Podor,90943,71451.3,115531.6,66146.15,123525.79999999996
livestock,rural,Ranerou,91311.5,65995.3,128158.5,59686.5,140341.84999999998
livestock,rural,Rufisque,132757,86711.90000000001,199962.7,77307.15000000001,231757.9
livestock,rural,Saint.Louis,85882.5,55524.299999999996,130364.1,49976.55,146974.45
livestock,rural,Salemata,27276,18748.5,39066,16453.2,42643.5
livestock,rural,Saraya,76571,54035.7,110047.90000000001,47963.700000000004,120897.49999999999
livestock,rural,Sedhiou,52425,34359.6,80418.9,30900.85,89437.84999999999
livestock,rural,Tambacounda,57373,43044.8,77900.29999999999,39222.1,85053.34999999999
livestock,rural,Thies,51225,36832.299999999996,70014.80000000002,34454.85,77540.6
livestock,rural,Tivaouane,53835.5,38890.4,74648.3,35200.4,82629.65
livestock,rural,Velingara,74309.5,56900.200000000004,97439.70000000001,52617.6,106556.64999999998
livestock,rural,Ziguinchor,35130,19832,63490.50000000001,16062.7,73113.4
livestock,urban,Bakel,69881.5,34752.8,139782.90000000002,28187.65,165750.25
livestock,urban,Bambey,90762,49131.1,156273.40000000002,41946.1,179398.79999999993
livestock,urban,Bignona,60089,22735.100000000002,163994.60000000003,16694.65,226044.09999999998
livestock,urban,Birkelane,59926.5,36376.3,104089,31376.2,119979.9
livestock,urban,Bounkiling,39267.5,20265.2,78480.2,17105.95,93680.69999999998
livestock,urban,Dagana,48813.5,29088.600000000002,82939.2,25045.6,97220.2
livestock,urban,Dakar,85283.5,43323.9,161173.1,36610.05,191595.39999999997
livestock,urban,Diourbel,33403,22362.2,52936.1,20107.350000000002,58287.099999999955
livestock,urban,Fatick,57099,34882.5,90198.3,30638.200000000004,102514.75
livestock,urban,Foundiougne,37271.5,23606.1,59737.1,20470.100000000002,69490.49999999997
livestock,urban,Gossas,40916.5,15952.9,97763.50000000001,12360.6,131024.34999999987
livestock,urban,Goudiry,50884.5,17192.7,134809.4,12915.95,183186.19999999992
livestock,urban,Goudomp,11376.5,5158.5,24548.5,4201.5,33214.35
livestock,urban,Guediawaye,122984.5,54566.2,255740.50000000003,41638.6,300470.24999999977
livestock,urban,Guinguineo,81364.5,43562.8,144459.30000000002,35853.799999999996,169962.4
livestock,urban,Kaffrine,27225.5,18453.7,41391.700000000004,16436.55,46961.5
livestock,urban,Kanel,98104.5,67175.4,143348.6,59382.399999999994,162724.39999999997
livestock,urban,Kaolack,30550,19659.3,47427.100000000006,17759.899999999998,52539.299999999996
livestock,urban,Kebemer,67997,33348.100000000006,140945.30000000002,26834.9,169129.15
livestock,urban,Kedougou,59493.5,38122.7,89408.4,35354.05,104370.35
livestock,urban,Kolda,21909.5,11631.8,41315.50000000001,9559.2,49247.3
livestock,urban,Koungheul,68023,37627.5,125535.50000000001,31322.7,155351.15000000002
livestock,urban,Koupentoum,36949,19223.3,72632.6,15869.800000000001,88011.4
livestock,urban,Linguere,58677.5,38099.799999999996,88714.20000000001,33005.5,101373.79999999997
livestock,urban,Louga,92779.5,62959,142321.1,56722.25,164265.49999999997
livestock,urban,M.backe,42353,21473.800000000003,81850.8,18317.050000000003,102571.59999999999
livestock,urban,M.bour,46932,29964.6,72102.7,26175.350000000002,82458.54999999999
livestock,urban,Malem.Hoddar,53451.5,25362.6,111043.70000000001,20763.4,139641.74999999994
livestock,urban,Matam,78411.5,46314.600000000006,127747,38713.8,149187.84999999995
livestock,urban,Nioro,19061,8847.5,41782.9,6926.4000000000005,53586.849999999984
livestock,urban,Pikine,177511,125381.9,251247.6,111589.5,279599.25
livestock,urban,Podor,30324,12922.5,70154.70000000001,10412.8,90379.99999999999
livestock,urban,Rufisque,105487.5,61805.6,175857.2,54903.7,200813.89999999997
livestock,urban,Saint.Louis,47576,30036.7,74515.9,26834.85,85146.25
livestock,urban,Salemata,27497.5,15834.9,47535.799999999996,13652.2,56090.75
livestock,urban,Sedhiou,19900.5,7914,50879.100000000006,6215.3,63528.59999999999
livestock,urban,Tambacounda,44159,22092.5,86155.00000000001,18095.100000000002,106339.74999999994
livestock,urban,Thies,85680.5,49650.600000000006,144653.2,42297.25,170943.65
livestock,urban,Tivaouane,114602.5,51578.3,242336.90000000005,41501.2,296215.89999999997
livestock,urban,Velingara,36793,20170.600000000002,64429.3,17618.1,79250.59999999999
livestock,urban,Ziguinchor,13573,8634,22087.800000000003,7489.799999999999,25916.649999999994
professional,rural,Bakel,481893,363707.4,629237.8000000002,326534.05,687733.35
professional,rural,Bambey,332027.5,247231.6,431811.2,224054.45,462964.95
professional,rural,Bignona,628961.5,489285.8,793899.8,455202.35,848667.1999999998
professional,rural,Birkelane,447455.5,338645.7,632851.1000000001,314912.2,692081.6
professional,rural,Bounkiling,433506.5,336812,560573.2000000001,317653.9,599219.7999999999
professional,rural,Dagana,396229,310585.7,505240.7,291895.95,537761.2499999999
professional,rural,Diourbel,277575.5,213111,372006.20000000007,197577.75,397132.6999999999
professional,rural,Fatick,485252.5,383308.4,617484.5,357296.7,658211.0499999998
professional,rural,Foundiougne,377877.5,310947.6,466388.1,291669.65,496618.8499999999
professional,rural,Gossas,499394.5,362665.8,672902.4,332767.2,739388.7999999999
professional,rural,Goudiry,453255,341917.9,605802,316728.15,662673.7499999999
professional,rural,Goudomp,446776.5,344010.9,576994,310401.44999999995,619621
professional,rural,Guinguineo,462452.5,361601.6,591818.5,340136.19999999995,643048.5
professional,rural,Kaffrine,388112,300118.10000000003,495698.39999999997,278975.69999999995,532522.35
professional,rural,Kanel,348037,254634.3,462222.6,233496.45,492667.2
professional,rural,Kaolack,451642.5,370040.1,547134.2000000001,352681.64999999997,576177.75
professional,rural,Kebemer,497952,398567.10000000003,625690.4,375738.9,674769.0499999999
professional,rural,Kedougou,585862.5,480019.7,733835.3,451234.95,780602.95
professional,rural,Kolda,471963,377487.7,607140.8,351998.05,641889.45
professional,rural,Koungheul,377999.5,293096.3,478106.3,270251.15,514239.24999999994
professional,rural,Koupentoum,380918.5,267298.2,505085.4,232815.1,551456.35
professional,rural,Linguere,464657,380876.9,573318.5,360598.2,613928.1
