admin1,admin2,urban,sector,pred_med,pred_80lb,pred_80ub,pred_90lb,pred_90ub
Dakar,Dakar,urban,agri_aqua,176707.5,77504.70000000001,355412.70000000007,61939.45,441877.5999999997
Dakar,Dakar,urban,livestock,75087.5,40989.9,138056.9,34238,166366.64999999997
Dakar,Dakar,urban,professional,1233476.5,1134737.2,1344358.6,1103729.5999999999,1375137.15
Dakar,Dakar,urban,services,701673.5,644041.4,770715.9,626414.4500000001,793053.3999999999
Dakar,Dakar,urban,small_business,390129,345027.7,441497,331605.6,456297.5
Dakar,Dakar,urban,trades,1024935,859523,1205309.6,810927.2999999999,1262235.5999999996
Dakar,Guediawaye,urban,livestock,93076,50777.9,177903,42097.35,229677.74999999988
Dakar,Guediawaye,urban,professional,707288.5,537204.8,911069.5,498650.15,972009.9999999998
Dakar,Guediawaye,urban,services,721224,581972.9,904703.7999999999,544234.7000000001,962020.4500000001
Dakar,Guediawaye,urban,small_business,359702.5,275091.7,476810.60000000003,255628.55,515109.5
Dakar,Guediawaye,urban,trades,527188.5,394848.1,743781.3,365246,807973.8999999999
Dakar,Pikine,urban,agri_aqua,64653.5,23723.3,162700.7,18690.25,206581.09999999995
Dakar,Pikine,urban,livestock,161508,107787,224493.2,97783.75,252357.30000000002
Dakar,Pikine,urban,professional,620069.5,561808.1,678146.3,544290.15,695902.1
Dakar,Pikine,urban,services,621386.5,564794.8,696586.6000000001,549023.7000000001,715071.85
Dakar,Pikine,urban,small_business,249319,220106.6,285250.4,214629,296361.44999999995
Dakar,Pikine,urban,trades,755947.5,686209.8,837340.1000000001,671217.65,853050.3
Dakar,Rufisque,rural,agri_aqua,153954,90947.8,274816.10000000003,77769.9,315203.09999999986
Dakar,Rufisque,rural,livestock,141831,90160.6,235096.30000000002,79142.9,268654.94999999995
Dakar,Rufisque,rural,professional,573421,482285.5,677581.7,457556.80000000005,715055.9999999999
Dakar,Rufisque,rural,services,401700.5,320978.69999999995,495105,297434.7,520746.35
Dakar,Rufisque,rural,small_business,180357,151652.1,211535.80000000002,144824.15,221101.69999999998
Dakar,Rufisque,rural,trades,632688.5,544027.5,738848.2000000001,511559.60000000003,770991.2999999999
Dakar,Rufisque,urban,agri_aqua,127914,52745.9,293728.7,40212.95,367421.74999999994
Dakar,Rufisque,urban,livestock,84293.5,51541.899999999994,134058.4,43161.35,154531.64999999997
Dakar,Rufisque,urban,professional,1010723.5,827686.4,1250128.9000000001,779740.5,1319336.3499999999
Dakar,Rufisque,urban,services,597364,496031.8,713211.3,470616.14999999997,744728.9
Dakar,Rufisque,urban,small_business,236553,192576.1,286605.10000000003,181789.9,307659.95
Dakar,Rufisque,urban,trades,630242,520185.9,765961.6000000001,481896.94999999995,803936.6
