urban,sector,draw_1,draw_2,draw_3,draw_4,draw_5,draw_6,draw_7,draw_8,draw_9,draw_10,draw_11,draw_12,draw_13,draw_14,draw_15,draw_16,draw_17,draw_18,draw_19,draw_20,draw_21,draw_22,draw_23,draw_24,draw_25,draw_26,draw_27,draw_28,draw_29,draw_30,draw_31,draw_32,draw_33,draw_34,draw_35,draw_36,draw_37,draw_38,draw_39,draw_40,draw_41,draw_42,draw_43,draw_44,draw_45,draw_46,draw_47,draw_48,draw_49,draw_50,draw_51,draw_52,draw_53,draw_54,draw_55,draw_56,draw_57,draw_58,draw_59,draw_60,draw_61,draw_62,draw_63,draw_64,draw_65,draw_66,draw_67,draw_68,draw_69,draw_70,draw_71,draw_72,draw_73,draw_74,draw_75,draw_76,draw_77,draw_78,draw_79,draw_80,draw_81,draw_82,draw_83,draw_84,draw_85,draw_86,draw_87,draw_88,draw_89,draw_90,draw_91,draw_92,draw_93,draw_94,draw_95,draw_96,draw_97,draw_98,draw_99,draw_100
rural,agri_aqua,0.2162691151136906,0.22554240491227015,0.21329564479548618,0.2187127813920042,0.2161136299931677,0.21407799799668745,0.21587409014166561,0.22257365065692475,0.2102991631924535,0.22860499765556422,0.21750897651746365,0.22003498456382045,0.20372983929085497,0.2173351102811182,0.21604646293227509,0.20761793093021014,0.21517180305855776,0.210480263653363,0.22198351097507144,0.21116142805713736,0.21392869849024648,0.2149999375902488,0.21978274646415522,0.20624383996170922,0.21411034230873244,0.21152821812327446,0.2203521717104823,0.21613328533703047,0.2224725651151764,0.22284850440435822,0.2151449253094939,0.21890689610246458,0.22236466357296583,0.2119778214347717,0.21060826764565646,0.20493762748949906,0.21604185127119535,0.20858423736247678,0.21186131074874381,0.22482859939514757,0.21853241922251973,0.20844993546826518,0.21335655444712875,0.2076604093661914,0.22018405381049816,0.22366072954083713,0.21441348989958145,0.21318688077896988,0.2158918524377375,0.21840933790647082,0.21253117900625368,0.21390853459902395,0.2198389020302442,0.21938603927527045,0.21345469973831274,0.21749668737374686,0.21910265411998894,0.20961666667802367,0.20819503897193986,0.21967502026546676,0.21334540036182628,0.21693507026205738,0.21611140677615945,0.2176973528457341,0.21922634115473916,0.2097033710803715,0.20956236187550195,0.20727398606766934,0.21616559760122736,0.22234865695686698,0.2128366985308413,0.2053291617863205,0.20919176852401505,0.20945336258062466,0.22442590539899326,0.2186315425102877,0.21428759723624108,0.2158190537984245,0.20574237688760147,0.2066125114908918,0.2235335181039655,0.22527278978015922,0.217267701101897,0.21529648758275685,0.21361254541129265,0.2147976985797858,0.22903538100096496,0.20283789070853614,0.2106902146393123,0.2121444926911341,0.21469676625255815,0.2184646774345085,0.21857203176817197,0.21838643415341855,0.21628190888581594,0.21360443253781894,0.21561900830802497,0.2143260357862189,0.21293274475335167,0.21829863870523974
rural,livestock,0.17357547782754926,0.186874485255454,0.19051200425766263,0.19589236859055711,0.19506821816793563,0.18075263249787613,0.19209063572539395,0.1840283940185137,0.18714675657579266,0.1871051228404473,0.19782921758028885,0.19258614390887702,0.19502227814968526,0.19570363515406006,0.18680428989731349,0.2071726534089683,0.18576042261817835,0.19649006875799374,0.18906390965554581,0.19585055675058508,0.18887355592121363,0.1886576011331699,0.19735389577802162,0.1862480072579857,0.18768227385013314,0.18870621894399708,0.18091422917128028,0.18550434020871875,0.18421596481390276,0.1898792204427548,0.18770411605427254,0.1888842715114787,0.18753540662944926,0.1953540695393219,0.19228907842229717,0.19318237225398915,0.19239838511074428,0.19443715022969946,0.1957103707328434,0.18520815068766416,0.18036225842877127,0.1812109631380094,0.19178419024840954,0.19597715536991542,0.18566738214589346,0.19034178097788565,0.18817273544124627,0.18553177396317255,0.19097959676903892,0.19187996590386436,0.18539593036727434,0.19090625866543035,0.19414377923077353,0.18725866838502075,0.1863537279724992,0.1901166098486791,0.18273926587925837,0.19296049250023484,0.1976034664083438,0.1877535640901442,0.19379355641706736,0.18839203673431504,0.19157321260876595,0.1917132581375418,0.18553206372045195,0.19025152519581973,0.19095911835629192,0.19621215989807372,0.19519455312465347,0.17847948715509376,0.1882173097286879,0.1937082882652908,0.18839604776267344,0.19761488305860764,0.1849126608224796,0.1860085905891565,0.19749001480206269,0.1923447515155071,0.19265013821382607,0.18995612298981845,0.19274949104645497,0.19334652916892378,0.1879092697934433,0.19230739168906283,0.18371540321824797,0.20244852330519073,0.18587371542738945,0.20100566506769835,0.1870410062516129,0.18924786517540748,0.18477846907200174,0.18745847273405758,0.1913510358146647,0.17693618436616657,0.18948401937055723,0.18214423231114946,0.20225191003859425,0.18850271073395522,0.19821421969946554,0.19079699847866932
rural,professional,0.08101914910976539,0.07956220668046882,0.08637162496018197,0.0766875495464896,0.07237314709710756,0.08119603575595721,0.08667177836231775,0.08432126280504809,0.07784518943181151,0.07709863785262462,0.08115737095074904,0.0839749512068598,0.08206796939320206,0.08478540773256617,0.09525714179967096,0.08019326389878552,0.08772577826053042,0.08512322302486215,0.08348275672355346,0.07549284645665767,0.08062008200585805,0.08540415370552387,0.0815235179452007,0.08515312938878342,0.07958387527450435,0.08413161422172141,0.08320338623768678,0.0765015711955393,0.08385824310176877,0.08573809033244872,0.0770355398798821,0.08251206354758787,0.07994961813256202,0.08043678957666993,0.08240085857873901,0.08765491426367779,0.082176645591461,0.07959720472974925,0.08306013520595561,0.0845062360827766,0.08131401397028798,0.08390975656618382,0.08261148634558416,0.08325465957810586,0.08045401707996248,0.08464239833499469,0.07989236941524121,0.07857638080329046,0.07996776365407238,0.07977394911285283,0.09053374936395649,0.07859723457099398,0.08420741778842097,0.08294849843612634,0.08913335605735391,0.0809400388916391,0.08326858608892722,0.07372968251028458,0.08278470546413286,0.07785711389631628,0.08293427696122264,0.08082352655532406,0.08377528594198165,0.08725787444455538,0.08015800243921888,0.08339155235338597,0.07791086097060744,0.08347536198473395,0.07213560637782795,0.07880430889027196,0.07459699300108172,0.08364790302538812,0.08446594066173832,0.07196717423116919,0.081273955115003,0.08233718750039085,0.08010762356182992,0.07278867229189698,0.08130754270964989,0.08441635089814335,0.08528805179596917,0.07345772471999001,0.08105705090081325,0.08102462251748103,0.08737479362104192,0.07781581190054136,0.08250290408963906,0.07951447591601112,0.08691415240989382,0.0859843765569069,0.08163716755974973,0.08503511953245316,0.08563830103311454,0.07964291870525193,0.08619832021959256,0.0798694046131396,0.08755962587337136,0.07752825009828127,0.08160498603859509,0.07975959338399771
rural,services,0.04851201675968221,0.051264124992518985,0.051182168866303474,0.05595559157527417,0.05456001749240656,0.053806507937680804,0.05601644574906315,0.051347798397823254,0.05315095664479665,0.051292349737500485,0.0503239507093206,0.047432827603102704,0.04960352000023815,0.053155439892649245,0.05164330117917114,0.051207628754526335,0.05084118696018881,0.05398368597580976,0.04915949953058645,0.04919814417898782,0.058604048127935855,0.05267277601150006,0.054990010549578326,0.05256787322300498,0.052493140315392275,0.053985009631479675,0.05195755041231088,0.05265200287280896,0.05028132778304594,0.05118441996345856,0.04877738933806205,0.04919846911523084,0.049515842206168996,0.05106624203312978,0.05265071698868839,0.056852356850752156,0.052917132107647584,0.05140261135657848,0.05707189940472083,0.05551494875579265,0.05451791565459845,0.0556230061165262,0.05137407823372972,0.055278281854814496,0.051763786622029975,0.045938626697677884,0.05423705500486502,0.051365007649393744,0.05407503392140707,0.0502534900841733,0.053770269469846185,0.056334634027899455,0.04867838124645078,0.052694596360526064,0.05558896058669998,0.05338573737563316,0.054969053336439505,0.05670415371889024,0.0544094758826605,0.05294566895114546,0.05323326326389279,0.053883165103419804,0.05305340495223446,0.052107756170997714,0.04863443005143928,0.057004260662598435,0.050780547860293714,0.061110916862106325,0.05141596716812624,0.0509490277329111,0.052039247738954374,0.05199836931086798,0.04982906179582836,0.049255158418731536,0.048388569086989956,0.05484159059780673,0.05300323901094554,0.05361818820554506,0.05439949052706682,0.04777579420543582,0.055881164415312774,0.05764618485789666,0.053782720692267284,0.05320854959862155,0.05281862308987942,0.05196423265358668,0.05394130407438415,0.0497790439911928,0.052007236771610385,0.05372194685623748,0.04792626303868248,0.050803301474526406,0.050470127421711884,0.0554632770658156,0.046594415293752293,0.05038728484628754,0.05282935487918127,0.05769049262089896,0.05209897961889229,0.05323201641517867
rural,small_business,0.38413403282254793,0.3505723798271684,0.3543287686222925,0.3552399116033726,0.35626767135059617,0.356033712797023,0.3501327336924508,0.35668358099776537,0.3629173431761697,0.3463284537738089,0.34525563754087385,0.34720783697169627,0.3684528671956607,0.3460054233529017,0.3521529121265625,0.35310855116991996,0.3580221274547023,0.3559537794296847,0.34618631203656736,0.3644895577344643,0.34910990088433724,0.35286436142940825,0.342243524074035,0.3664262077399204,0.35664165151948857,0.3548256026438286,0.3619000421256842,0.355972784225665,0.3625265783346094,0.3507070249430133,0.367142432511807,0.35487283267034736,0.35640961129089754,0.3571209976421048,0.3656775216058154,0.35593555055445486,0.3505201327116052,0.34775422343887774,0.3498606267921917,0.34909508377285803,0.3651299710462337,0.36114982312717003,0.3482688471288991,0.357627198267602,0.3634863718577591,0.3599515011778951,0.35091476054554493,0.3668294974843758,0.3541287682610562,0.3535949323030867,0.3537348787061269,0.34832693782145396,0.3461274343494618,0.3553360333009578,0.35131337483299224,0.34873510409369,0.3561925161066258,0.3616538235951963,0.34923300226777654,0.34902525156308106,0.34948458340856053,0.355599142914224,0.34921020477386017,0.3448304367476213,0.35682687399265733,0.3530882456990878,0.3595288287261257,0.34863499742453724,0.35913335054904416,0.3630663778784708,0.36833218148942504,0.3570473330921842,0.3678029688372616,0.3633138646545822,0.3559796655360955,0.34959483114225115,0.3536359609454616,0.3662947520299648,0.355494859245335,0.3644910926074374,0.3387835378290365,0.3425590552289696,0.35836113640666384,0.35364058125699366,0.3568601036881739,0.3514897845319908,0.34981221915526256,0.36604420034449614,0.36227763941890034,0.35061004108931004,0.36777621547371564,0.3556721366824826,0.34547995530834313,0.36613683412432607,0.3511367295418733,0.3639170141179868,0.34408371999529275,0.35437631574512723,0.34914257513375874,0.34633206063529265
rural,trades,0.09649020836676488,0.1061843983321196,0.10430978849807349,0.09751179729230217,0.10561731589878642,0.11413311301477547,0.09921431632910871,0.1010453131239248,0.10864059097897617,0.10957043814005447,0.10792484670130408,0.10876325574564355,0.10112352597035869,0.10301498358670488,0.0980958920650069,0.10069997183758969,0.10247868164784252,0.09796897915828644,0.11012401107867553,0.10380746682216765,0.10886371457040878,0.10540117013014903,0.10410630518900936,0.10336094242859617,0.10948871673174924,0.10682333643569869,0.10167262034255577,0.11323601616023765,0.09664532085149666,0.09964273991396648,0.1041955969064824,0.1056254670528905,0.10422485816795621,0.10404407977400185,0.0963735567588038,0.10143717858762681,0.10594585320734673,0.11822457288261826,0.10243565711554485,0.10084698130576097,0.10014342167758891,0.10965651558384511,0.11260484359624859,0.10020229556337086,0.09844438848385709,0.09546496327070975,0.11236958969352087,0.10451045932079761,0.10495698495668775,0.10608832468955219,0.10403399308654258,0.1119264003151981,0.10700408535464861,0.10237616424209867,0.10415588081214172,0.109325822416612,0.10372792446876024,0.10533518099737038,0.1077743110051467,0.11274338123384604,0.1072089195874303,0.10436705843065963,0.10627648494699843,0.10639332165354959,0.10962228864149316,0.10656104500873657,0.11125828221117925,0.10329257776287938,0.10595492517912078,0.10635214138638538,0.10397756951100964,0.10826894451994815,0.10031421241848333,0.10839555705628456,0.10501924404043883,0.10858625766010702,0.10147556444345916,0.09913458215866135,0.11040559241652063,0.10674812780827299,0.10376423680926128,0.10771771624406075,0.1016221211049153,0.10452236735508409,0.10561853097136413,0.10148394902890445,0.09883447625235962,0.10081872397206539,0.10106975050867013,0.10829127763100414,0.1031851186032923,0.1025662921419717,0.10848854865399371,0.10343435158502119,0.11030460668840847,0.1100776315736176,0.0976563809055352,0.10757619501551846,0.10600649475593658,0.11158069238162178
urban,agri_aqua,0.033328952036087926,0.03737095609847489,0.033781519254825434,0.03822804931414779,0.03798530652793318,0.037382304284374605,0.03183285772427309,0.03542885583735371,0.03809262220475161,0.04037863115092175,0.03751613988890111,0.03349446407040836,0.03792072032253095,0.03502415021923911,0.03410671075406605,0.03864750270370616,0.03343774992964929,0.03264050512654749,0.03516540609680585,0.0325381398540104,0.034110110696662053,0.0350205730347456,0.03941934719341245,0.03518683420917262,0.03551094586088286,0.04083075132650389,0.03154951118031514,0.038313083189288104,0.03874912133723083,0.03622425760667014,0.03553753873461962,0.03671855138304361,0.03993968261501452,0.033571335077783045,0.03391507476239139,0.033967249620519765,0.03867810576867678,0.03191621283352464,0.03745697667325276,0.03657900130413565,0.034800191426084835,0.030819843357859082,0.03407069752239698,0.03913588367147323,0.0359173457201161,0.036535962615264234,0.03392790622776562,0.035417305746959345,0.033745154573272214,0.03409723459160981,0.03733557650540399,0.03178503660263919,0.0393786493990014,0.03424295617591062,0.03539764200291605,0.0331848916572472,0.03396955249236116,0.03534580674542199,0.0363906366515181,0.035127717493908195,0.03442555622806629,0.036398498033858355,0.0332690757346631,0.036939020509889495,0.034633236949344254,0.03479801710834842,0.0361445484911181,0.03018839677996453,0.03633493667690002,0.039004781276180726,0.03621338329893487,0.036086937054187786,0.035741231764861,0.036015131573133116,0.03266403357654059,0.034609161362122234,0.038465406719784344,0.03625904717140064,0.03913082835968287,0.03343421352663354,0.0372031741802564,0.0367170509852201,0.03412177951046265,0.03654721097674228,0.03596376995498118,0.03274448591719282,0.03531140998991977,0.033584301468966904,0.035722130648015396,0.03567120321431923,0.039059748346344694,0.03541554028817181,0.038746229035205054,0.034448455280012634,0.03794775703393723,0.032068441590827175,0.03878334450343629,0.03555484685726102,0.03518581787775319,0.03784637551242754
urban,livestock,0.041518804694028695,0.0360217105610802,0.04087051446548595,0.03903054409023956,0.03717406774768543,0.03792105296153562,0.03918037634889492,0.03545256567196428,0.04077151274307444,0.036146087499160144,0.03887752178330785,0.03765942193536944,0.037461235302743395,0.042191459954192725,0.03633916776053506,0.041329897969698146,0.0438656037435701,0.037439376781102124,0.040214025106156105,0.03796603465857557,0.041375869215659354,0.03709338640828313,0.03845676953944459,0.038908976582916165,0.04063700005761165,0.040923051330487195,0.03537357581034805,0.04041275429384586,0.03732887218245395,0.035872177464863424,0.036820198502172406,0.04001899092705798,0.039883207929377294,0.038319334274921554,0.03548225097082282,0.04173686595672566,0.036978390353790754,0.03820258257399531,0.0415250137084112,0.038294387343770074,0.04028764666180658,0.03536465048616508,0.03823375272509467,0.03882389032158016,0.038188306130050635,0.042782624590632715,0.035924548653479424,0.03680753440900012,0.03890239585428655,0.03564016684470536,0.0400355842856043,0.03871227108042353,0.0371849747828133,0.03819004518729696,0.042268165236725025,0.03854084938453228,0.03806276883648015,0.03939326112518713,0.039050532271451915,0.03674317488645619,0.03790913841534478,0.03712499680214208,0.041387020157249314,0.04066754925068818,0.03615422538102238,0.03578734736977416,0.035363603261667396,0.037314897286310836,0.036564276846026277,0.03634396754421606,0.04123369471077867,0.039964235649552135,0.034832817490397246,0.043087208719950136,0.04154393666256131,0.03582770318971599,0.04097722033100732,0.04040117736754902,0.03446135686597215,0.03520463439095674,0.03979706178489765,0.04005418857403299,0.039097865540018865,0.04357021942295154,0.03922706889665641,0.037986908186788175,0.036139994785868275,0.03593525113919466,0.03841271032335818,0.043812524790674476,0.03925989375604901,0.03615859627719315,0.0377720887054775,0.042867636914998744,0.040006118259505244,0.03682840485653322,0.035697579633029615,0.03623170216930941,0.03877676008197157,0.03496198107368702
urban,professional,0.22058639887283418,0.21596726123129933,0.21668916024498797,0.2258010995782878,0.2172190767693265,0.22568866137655622,0.23264298333936645,0.21977661073851418,0.22608422808038042,0.22728908583130575,0.23546875686594415,0.2227366592771848,0.23362229166602372,0.22583594527416312,0.2156518196927168,0.2311133215809734,0.2240193650332948,0.21626359387088576,0.2240232448262903,0.2172661142705954,0.21407637453669334,0.22373620235360167,0.22220063640238574,0.2218556587257206,0.22358395543871018,0.2215857187000759,0.23071174989521925,0.22100347723454922,0.2225765484405863,0.22847847259249046,0.21751472881839573,0.22072842829059847,0.21864805480045324,0.21960721848757225,0.22059481419198212,0.22823135147367002,0.22825072539256802,0.22367276651399756,0.21946812062253335,0.22993055783957608,0.22364028432633032,0.21960440033622533,0.22440281198044595,0.23031519575433487,0.23289724471783133,0.21799236792372664,0.22891914630575555,0.2265767101158863,0.2209010445029866,0.2296648986156763,0.2264623409069802,0.21540751053335483,0.21905389074376885,0.21887677154946047,0.23039522593390152,0.2288662339777254,0.22292460240283257,0.2212602840176507,0.22775819244321727,0.22483605474510468,0.21208946750099536,0.21973746898608962,0.21621500559976212,0.21943047916271335,0.2295031664217025,0.23242495657602855,0.22455375792969814,0.22070801700813528,0.2261120609536372,0.22578071382876042,0.2276664808897594,0.22686586628256628,0.21154970310520735,0.23023629972357898,0.21902493503752654,0.22440072988897708,0.22214233178888965,0.22497199489031294,0.22826417155807546,0.23303851323764896,0.2211645700079834,0.22577304107855586,0.2219579336228813,0.21574170376399418,0.23184082604594225,0.2200088073510573,0.22767567561159988,0.22027719700085996,0.22460569604630007,0.22279715320838114,0.22675258353315925,0.21974366655286573,0.22853112964911848,0.223370126791939,0.21982535691692,0.21889571266838453,0.2224723644321953,0.2144098748316326,0.2224797531122239,0.21659434280297044
urban,services,0.13666906911469762,0.14385240775632646,0.13610421585682844,0.13709464427056708,0.13663667758308967,0.14226285599332766,0.14134970796676508,0.14790832035266024,0.1380797781230745,0.13389082286584772,0.12715657961708712,0.13675160439374762,0.1290106130978333,0.13295288665762334,0.13618702995369994,0.13877295214993704,0.13582231160465874,0.14116847082249223,0.14034937056102165,0.13141719208173058,0.13923245044016125,0.1358690684184975,0.13333366438157115,0.14415123398768562,0.14553258058126017,0.1336687208528865,0.13587021048162132,0.1440946586695768,0.13850162804197838,0.1336705237285882,0.13472363970493004,0.13582144444463615,0.13793332019770937,0.14094286284026683,0.1340006430473864,0.14165999909555582,0.13296071352171923,0.1381761222974282,0.13212361816908672,0.1295341225335791,0.1389885961272252,0.1403826273897641,0.1358942085437863,0.1327441759818206,0.13453109292617485,0.13821010849988424,0.13840966413471348,0.1381807434840493,0.13803121273370658,0.13177952803011841,0.13345757883237147,0.14675927096713887,0.14138855025042976,0.1401615778281134,0.13701689067595008,0.13132782810664925,0.14030345441991643,0.13639836577876915,0.13571261252549094,0.12992839500297598,0.141734445145344,0.14082324338870386,0.1369825175965293,0.13272130236561605,0.13569677846718892,0.13348637403958222,0.14022778480919054,0.13416865634327388,0.1422217872692114,0.13692594543898273,0.13217089639698298,0.14125318880736423,0.13993499225571074,0.1336539733448266,0.1344098322390705,0.14669424083520582,0.13514730214847645,0.13332822261311106,0.13039464796347397,0.14189093977641848,0.1359403361999752,0.13503773415847936,0.13581299133184213,0.13855188497301885,0.12992028129695016,0.13718941730411766,0.1388701245910069,0.1397294062201452,0.13096032344110758,0.13870782335965928,0.13256664269017523,0.13431149811305423,0.1400218435566722,0.13327373312964047,0.1329025826954767,0.1439794266001981,0.13786223495420155,0.1410067111592197,0.13552323480798767,0.13141170957555418
