admin1,urban,sector,pred_mean,pred_80lb,pred_80ub,pred_90lb,pred_90ub
Dakar,rural,agri_aqua,0.029775783631020274,0.01988683218676215,0.04048103289224306,0.01735361647601101,0.044669720422894674
Dakar,rural,livestock,0.0728950404555248,0.05766203356697258,0.08878797313595578,0.05414389016352569,0.0932136947302167
Dakar,rural,professional,0.1630350601226635,0.1499166137995959,0.17613330168164026,0.1459001321404057,0.18094102296673098
Dakar,rural,services,0.14132066187918657,0.127250034743967,0.15553980597590245,0.12349494424218423,0.1596994100950829
Dakar,rural,small_business,0.36632891711044757,0.34624252112454024,0.3861520755576424,0.34171385088646083,0.3922254366327179
Dakar,rural,trades,0.2266445368011573,0.20784676610663283,0.24510447215854667,0.20291077590356454,0.25175152417255525
Dakar,urban,agri_aqua,0.003968560628054104,0.0026871082366057694,0.005352926714372642,0.0024018215148410055,0.005800552426429404
Dakar,urban,livestock,0.011711674524527788,0.009162397430784092,0.014554925472727024,0.008559450020136255,0.015266627843060375
Dakar,urban,professional,0.28507426743775427,0.27188076916477755,0.2985166547591678,0.2689177674435393,0.30198865719047685
Dakar,urban,services,0.21371121401048418,0.20110122640554295,0.225583614804689,0.19778669492337908,0.22959686058558545
Dakar,urban,small_business,0.3311459242910662,0.3179057934770367,0.3445690826448806,0.3142541003105392,0.3478234023111236
Dakar,urban,trades,0.15438835910811347,0.1440663969230925,0.16450611564749823,0.14141701208400786,0.1680597247024491
Diourbel,rural,agri_aqua,0.16635512822394416,0.14646390829723363,0.18670766423717436,0.14077270515089021,0.19369770612216153
Diourbel,rural,livestock,0.1435698530760107,0.1254893564550087,0.1627684882014206,0.12078841842897757,0.1681952683377113
Diourbel,rural,professional,0.09798192708713098,0.08790889830047961,0.10821240976141625,0.08552106630182903,0.11124761958136659
Diourbel,rural,services,0.05001602584126641,0.04299074877052496,0.05729766293759363,0.04084481778398347,0.059519848100025
Diourbel,rural,small_business,0.4356192525061335,0.41402308611579913,0.456644966068272,0.4079228929447661,0.46300262613412646
Diourbel,rural,trades,0.10645781326551426,0.09532504433818856,0.11819263841608293,0.09218112402206803,0.12114953167000435
Diourbel,urban,agri_aqua,0.029108336977115946,0.02464332488584999,0.03389420725623341,0.02348437093763575,0.03555314285835828
Diourbel,urban,livestock,0.030022766500231658,0.02522159697285861,0.035295326380004675,0.024077530835506882,0.03683352147618135
Diourbel,urban,professional,0.22530242163652875,0.2069869389826904,0.24345893631863547,0.20195901188668194,0.24934727185048836
Diourbel,urban,services,0.09968113455387453,0.08807337631043524,0.11185508882206027,0.08506131004531774,0.11632583002159434
Diourbel,urban,small_business,0.5203893231634147,0.499065862233149,0.5415184180877112,0.49423620775232796,0.5480078950021241
Diourbel,urban,trades,0.0954960171688344,0.08564036637957553,0.10523132455933207,0.0834800063592245,0.10756067313489938
Fatick,rural,agri_aqua,0.28280367240378856,0.2564379171493868,0.30828047409197334,0.24994748612331721,0.3155046773624206
Fatick,rural,livestock,0.18031747415159582,0.15971598204316462,0.20143046890139465,0.1548045126731868,0.20853525361672193
