MatrixID,avgPopChange,ADM2_PCODE,ADM2_Name,ADM1_Region
1,0.701034509960566,SN1201,Bakel,Tambacounda
2,0.633616992663564,SN0201,Bambey,Diourbel
3,-0.158298750470484,SN1401,Bignona,Ziguinchor
4,1.68556170378244,SN0401,Birkelane,Kaffrine
5,0.834948848887147,SN1101,Bounkiling,Sedhiou
6,0.271785124863944,SN1001,Dagana,Saint Louis
7,-5.26117710745173,SN0101,Dakar,Dakar
8,0.785687574382405,SN0202,Diourbel,Diourbel
9,0.111947791347216,SN0301,Ffatick,Fatick
10,0.299716040893912,SN0302,Foundiougne,Fatick
11,1.79059251662877,SN0303,Gossas,Fatick
12,0.898835279603945,SN1202,Goudiry,Tambacounda
13,0.718385992435568,SN1102,Goudomp,Sedhiou
14,0.7688899681055,SN0102,Guediawaye,Dakar
15,1.75102687885998,SN0501,Guinguineo,Kaolack
16,0.775043717228942,SN0402,Kaffrine,Kaffrine
17,0.147369058158158,SN0901,Kanel,Matam
18,-1.09083829071562,SN0502,Kaolack,Kaolack
19,0.580955806723059,SN0801,Kebemer,Louga
20,0.955459078368593,SN0601,Kedougou,Kedougou
21,-0.0298262950044377,SN0701,Kolda,Kolda
22,0.805311953374885,SN1203,Koumpentoum,Tambacounda
23,0.734525399249661,SN0403,Koungheul,Kaffrine
24,0.127179739106702,SN0802,Linguere,Louga
25,-0.649105064337519,SN0803,Louga,Louga
26,1.49014956847032,SN0404,Malem Hodar,Kaffrine
27,-0.0739441198925202,SN0902,Matam,Matam
28,-4.12480259477348,SN0203,Mbacke,Diourbel
29,-2.10810497488991,SN1301,Mbour,Thies
30,0.725424233460312,SN0702,Medina Yoroufoula,Kolda
31,-0.43225739090514,SN0503,Nioro Du Rip,Kaolack
32,1.2672345176668,SN1402,Oussouye,Ziguinchor
33,-5.20653354641601,SN0103,Pikine,Dakar
34,-0.599750897701806,SN0903,Ranerou,Matam
35,1.43165058452021,SN1002,Podor,Saint Louis
36,-0.435965233126007,SN0104,Rufisque,Dakar
37,-0.0307525845011612,SN1003,Saint Louis,Saint Louis
38,1.29963894060654,SN0602,Salemata,Kedougou
39,0.997901682639412,SN0603,Saraya,Kedougou
40,0.777909342684598,SN1103,Sedhiou,Sedhiou
41,-0.399789724455881,SN1204,Tambacounda,Tambacounda
42,-1.86039248541048,SN1302,Thies,Thies
43,-0.620838534473375,SN1303,Tivaoune,Thies
44,-0.235791930329497,SN0703,Velingara,Kolda
45,-0.0496133198181207,SN1403,Ziguinchor,Ziguinchor
