MatrixID,avgPopChange,ADM2_PCODE,ADM2_Name,ADM1_Region
1,0.144107127629193,SN1201,Bakel,Tambacounda
2,0.433234729234489,SN0201,Bambey,Diourbel
3,-0.568210365996711,SN1401,Bignona,Ziguinchor
4,-0.0845779218385314,SN0401,Birkelane,Kaffrine
5,-0.496362925633304,SN1101,Bounkiling,Sedhiou
6,-0.0888968615938532,SN1001,Dagana,Saint Louis
7,-2.55605494878627,SN0101,Dakar,Dakar
8,-0.858531596647754,SN0202,Diourbel,Diourbel
9,0.471131106511498,SN0301,Ffatick,Fatick
10,-1.11237511746855,SN0302,Foundiougne,Fatick
11,4.79471523356757,SN0303,Gossas,Fatick
12,0.21454121866169,SN1202,Goudiry,Tambacounda
13,0.502406472233649,SN1102,Goudomp,Sedhiou
14,3.64397735120195,SN0102,Guediawaye,Dakar
15,2.85437270491617,SN0501,Guinguineo,Kaolack
16,-0.803574704872506,SN0402,Kaffrine,Kaffrine
17,0.197537138185272,SN0901,Kanel,Matam
18,-0.786485490592418,SN0502,Kaolack,Kaolack
19,0.951714533177894,SN0801,Kebemer,Louga
20,0.18527967576303,SN0601,Kedougou,Kedougou
21,0.480592090690828,SN0701,Kolda,Kolda
22,0.268367907772218,SN1203,Koumpentoum,Tambacounda
23,0.00364565638142817,SN0403,Koungheul,Kaffrine
24,0.381259580448594,SN0802,Linguere,Louga
25,0.26013650896909,SN0803,Louga,Louga
26,0.0410803236333848,SN0404,Malem Hodar,Kaffrine
27,-0.00188254285798961,SN0902,Matam,Matam
28,-2.83311000987876,SN0203,Mbacke,Diourbel
29,-1.8317324570942,SN1301,Mbour,Thies
30,0.202542312819016,SN0702,Medina Yoroufoula,Kolda
31,0.646482257273286,SN0503,Nioro Du Rip,Kaolack
32,0.803458233020255,SN1402,Oussouye,Ziguinchor
33,-3.23943633152128,SN0103,Pikine,Dakar
34,0.039292159950288,SN0903,Ranerou,Matam
35,0.913532169943371,SN1002,Podor,Saint Louis
36,-0.107149644027098,SN0104,Rufisque,Dakar
37,-1.11016092802847,SN1003,Saint Louis,Saint Louis
38,0.447492265612841,SN0602,Salemata,Kedougou
39,0.691476906401145,SN0603,Saraya,Kedougou
40,0.561692952541428,SN1103,Sedhiou,Sedhiou
41,-0.239773366308453,SN1204,Tambacounda,Tambacounda
42,-3.29890045917076,SN1302,Thies,Thies
43,-0.901914946593356,SN1303,Tivaoune,Thies
44,0.341348652550818,SN0703,Velingara,Kolda
45,0.44371334981987,SN1403,Ziguinchor,Ziguinchor
