MatrixID,avgPopChange,ADM2_PCODE,ADM2_Name,ADM1_Region
1,-0.435020105755744,SN1201,Bakel,Tambacounda
2,0.606266209466625,SN0201,Bambey,Diourbel
3,0.124658809086749,SN1401,Bignona,Ziguinchor
4,0.184000849205583,SN0401,Birkelane,Kaffrine
5,-0.0107920647835799,SN1101,Bounkiling,Sedhiou
6,-1.06136535729851,SN1001,Dagana,Saint Louis
7,0.0839145574369869,SN0101,Dakar,Dakar
8,-0.0984382066005628,SN0202,Diourbel,Diourbel
9,1.25111037365781,SN0301,Ffatick,Fatick
10,0.109421471016872,SN0302,Foundiougne,Fatick
11,1.31579727141974,SN0303,Gossas,Fatick
12,0.0820450149046213,SN1202,Goudiry,Tambacounda
13,0.257688578389837,SN1102,Goudomp,Sedhiou
14,4.33106995238054,SN0102,Guediawaye,Dakar
15,1.60933217890301,SN0501,Guinguineo,Kaolack
16,-0.0817812983233958,SN0402,Kaffrine,Kaffrine
17,-0.868842773166607,SN0901,Kanel,Matam
18,-1.26067188095223,SN0502,Kaolack,Kaolack
19,0.843814249397571,SN0801,Kebemer,Louga
20,0.0840368146315205,SN0601,Kedougou,Kedougou
21,0.0692061683285915,SN0701,Kolda,Kolda
22,0.113335963723024,SN1203,Koumpentoum,Tambacounda
23,-0.033623742304103,SN0403,Koungheul,Kaffrine
24,0.142896753051523,SN0802,Linguere,Louga
25,0.110820095413821,SN0803,Louga,Louga
26,0.0815007794959853,SN0404,Malem Hodar,Kaffrine
27,-1.08839297916353,SN0902,Matam,Matam
28,-1.57113960997773,SN0203,Mbacke,Diourbel
29,-0.797476361028538,SN1301,Mbour,Thies
30,0.377700619523411,SN0702,Medina Yoroufoula,Kolda
31,0.172097369363097,SN0503,Nioro Du Rip,Kaolack
32,0.891372878258198,SN1402,Oussouye,Ziguinchor
33,-2.358940019952,SN0103,Pikine,Dakar
34,0.0453103408991715,SN0903,Ranerou,Matam
35,0.786713478875154,SN1002,Podor,Saint Louis
36,-1.62326172470886,SN0104,Rufisque,Dakar
37,-1.39460196905733,SN1003,Saint Louis,Saint Louis
38,0.443587947370655,SN0602,Salemata,Kedougou
39,0.593665491518425,SN0603,Saraya,Kedougou
40,0.158531138396412,SN1103,Sedhiou,Sedhiou
41,-0.0326006373493878,SN1204,Tambacounda,Tambacounda
42,-2.0311507601974,SN1302,Thies,Thies
43,-0.136870523938132,SN1303,Tivaoune,Thies
44,0.111067367390638,SN0703,Velingara,Kolda
45,-0.0959927069479244,SN1403,Ziguinchor,Ziguinchor
