MatrixID,avgPopChange,ADM2_PCODE,ADM2_Name,ADM1_Region
1,-0.585498465704309,SN1201,Bakel,Tambacounda
2,-0.24957082550043,SN0201,Bambey,Diourbel
3,0.481439978888866,SN1401,Bignona,Ziguinchor
4,0.202717826068183,SN0401,Birkelane,Kaffrine
5,-0.517173018109826,SN1101,Bounkiling,Sedhiou
6,-1.15789086396416,SN1001,Dagana,Saint Louis
7,-0.661365905152436,SN0101,Dakar,Dakar
8,-0.960657810484099,SN0202,Diourbel,Diourbel
9,3.65036337822389,SN0301,Ffatick,Fatick
10,-0.888912770859314,SN0302,Foundiougne,Fatick
11,2.92366137135472,SN0303,Gossas,Fatick
12,0.353507495758328,SN1202,Goudiry,Tambacounda
13,0.358861419229296,SN1102,Goudomp,Sedhiou
14,5.00178392671016,SN0102,Guediawaye,Dakar
15,2.47200489385436,SN0501,Guinguineo,Kaolack
16,-0.79430786148592,SN0402,Kaffrine,Kaffrine
17,-0.833442547486395,SN0901,Kanel,Matam
18,-1.6972293143522,SN0502,Kaolack,Kaolack
19,3.34915350845125,SN0801,Kebemer,Louga
20,0.0632295119662698,SN0601,Kedougou,Kedougou
21,0.255376179735311,SN0701,Kolda,Kolda
22,0.195275318261003,SN1203,Koumpentoum,Tambacounda
23,-0.141115803835532,SN0403,Koungheul,Kaffrine
24,0.152505672999944,SN0802,Linguere,Louga
25,-0.200040946691934,SN0803,Louga,Louga
26,0.0299681740708832,SN0404,Malem Hodar,Kaffrine
27,-1.01792653185896,SN0902,Matam,Matam
28,-3.2290911428006,SN0203,Mbacke,Diourbel
29,-1.48895061326576,SN1301,Mbour,Thies
30,0.450264568280126,SN0702,Medina Yoroufoula,Kolda
31,-0.180207066714023,SN0503,Nioro Du Rip,Kaolack
32,1.14172480644456,SN1402,Oussouye,Ziguinchor
33,-2.17623410705617,SN0103,Pikine,Dakar
34,-0.0514951519846118,SN0903,Ranerou,Matam
35,1.14755215116931,SN1002,Podor,Saint Louis
36,-0.432884700357263,SN0104,Rufisque,Dakar
37,-1.59498526461622,SN1003,Saint Louis,Saint Louis
38,0.556051012386555,SN0602,Salemata,Kedougou
39,0.738568067224484,SN0603,Saraya,Kedougou
40,0.321958605735433,SN1103,Sedhiou,Sedhiou
41,-0.587364183321311,SN1204,Tambacounda,Tambacounda
42,-3.25330168832455,SN1302,Thies,Thies
43,-1.13710843791683,SN1303,Tivaoune,Thies
44,0.633852283918754,SN0703,Velingara,Kolda
45,-0.64306512888886,SN1403,Ziguinchor,Ziguinchor
